permit_type,permit_subtype,permit_street_address,permit_lot_size,contractor,contractor_address,submitted_date,issued_date,inspector
Maintenance,Mechanical,077 Massey Trace Suite 336,0.9 acres,Lawson Group,5562 Deleon Isle Expressway,1557360000,1558310400,Stephanie White
Maintenance,Mechanical,5516 Burke Junctions,1.11 acres,Roth-Garcia,5547 Schroeder Glens Courts,1557360000,1558137600,Lauren Ayala
Building,Rennovation,831 Kevin Corners Apt. 295,0.57 acres,Mercado and Sons,8410 Katie Heights Flats,1557446400,1559433600,Edward Woods
Maintenance,Mechanical,379 Kevin Valley,0.69 acres,Quinn Inc,7398 Young Meadow Falls,1557446400,1557964800,Brian Ochoa
Building,New Construction,40145 Collier Rapid,1.3 acres,Mercado and Sons,8410 Katie Heights Flats,1557446400,1558310400,Lauren Ayala
Building,Rennovation,67771 Allison Dam,1.39 acres,Mercado and Sons,8410 Katie Heights Flats,1557532800,1559260800,Edward Woods
Building,Rennovation,41989 Wang Gateway,1.1 acres,Lawson Group,5562 Deleon Isle Expressway,1557619200,1559692800,Edward Woods
Maintenance,Electrical,479 Lisa Parkway Suite 665,0.85 acres,Blair-Williams,2618 Marshall Summit Passage,1557619200,1558137600,Brian Ochoa
Maintenance,Mechanical,28731 Henderson Greens Apt. 665,0.72 acres,Mercado and Sons,8410 Katie Heights Flats,1557619200,1558310400,Lauren Ayala
Maintenance,Plumbing,723 Spence Mews,0.84 acres,Blair-Williams,2618 Marshall Summit Passage,1557705600,1557964800,Brian Ochoa
Maintenance,Electrical,5316 Ricardo Oval,0.72 acres,Lawson Group,5562 Deleon Isle Expressway,1557705600,1558224000,Edward Woods
Building,New Construction,519 Jacob Locks Apt. 310,0.9 acres,Lucero-Rich,6977 Ward Glens Dale,1557705600,1558224000,Edward Woods
Maintenance,Mechanical,6529 Richardson Row Apt. 793,0.9 acres,Quinn Inc,7398 Young Meadow Falls,1557792000,1558396800,Lauren Ayala
Maintenance,Electrical,37107 Torres Lock,0.92 acres,Lawson Group,5562 Deleon Isle Expressway,1557792000,1558224000,Brian Ochoa
Maintenance,Plumbing,7281 Deborah Summit,1.47 acres,Bray Ltd,6147 Amanda Center Pines,1557792000,1558310400,Brian Ochoa
Building,Rennovation,3454 Tamara Brooks,0.97 acres,Mercado and Sons,8410 Katie Heights Flats,1557792000,1560038400,Stephanie White
Maintenance,Mechanical,33681 Stephanie Light Suite 954,0.62 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1557964800,1558742400,Stephanie White
Maintenance,Mechanical,632 Mathew Garden,1.63 acres,Lawson Group,5562 Deleon Isle Expressway,1557964800,1558656000,Lauren Ayala
Maintenance,Electrical,44935 Abigail Plaza Apt. 078,1.0 acres,Quinn Inc,7398 Young Meadow Falls,1558051200,1558569600,Edward Woods
Maintenance,Plumbing,4256 Brian Shoal,0.41 acres,Mercado and Sons,8410 Katie Heights Flats,1558051200,1558569600,Edward Woods
Maintenance,Mechanical,83733 Timothy Spur,0.49 acres,Lawson Group,5562 Deleon Isle Expressway,1558051200,1558569600,Brian Ochoa
Maintenance,Plumbing,595 Harris Mills,1.08 acres,Lucero-Rich,6977 Ward Glens Dale,1558051200,1559001600,Stephanie White
Maintenance,Plumbing,6449 Joseph Shoals,1.11 acres,Roth-Garcia,5547 Schroeder Glens Courts,1558051200,1558828800,Edward Woods
Building,New Construction,341 Joshua Brooks Apt. 310,1.25 acres,Lawson Group,5562 Deleon Isle Expressway,1558137600,1559174400,Stephanie White
Maintenance,Electrical,267 Martin Summit Apt. 600,0.79 acres,Roth-Garcia,5547 Schroeder Glens Courts,1558137600,1558569600,Edward Woods
Building,New Construction,0844 David Tunnel Apt. 919,1.18 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1558137600,1558656000,Brian Ochoa
Maintenance,Electrical,22821 Thompson Forks,0.88 acres,Lawson Group,5562 Deleon Isle Expressway,1558137600,1558656000,Brian Ochoa
Building,New Construction,130 Jackson Turnpike Apt. 640,0.73 acres,Reese Ltd,2506 Johnson Garden Run,1558137600,1558828800,Lauren Ayala
Maintenance,Plumbing,64846 Brandon Light,0.9 acres,Mercado and Sons,8410 Katie Heights Flats,1558224000,1559001600,Stephanie White
Building,New Construction,493 Rhonda Neck Suite 695,1.08 acres,Quinn Inc,7398 Young Meadow Falls,1558224000,1559260800,Stephanie White
Maintenance,Plumbing,639 Torres Heights Apt. 375,1.75 acres,Lawson Group,5562 Deleon Isle Expressway,1558224000,1559260800,Stephanie White
Building,Rennovation,1461 Graham Oval Suite 229,1.18 acres,Mercado and Sons,8410 Katie Heights Flats,1558224000,1560470400,Lauren Ayala
Maintenance,Mechanical,0132 Franklin Junction Apt. 131,1.26 acres,Blair-Williams,2618 Marshall Summit Passage,1558310400,1559260800,Stephanie White
Building,Rennovation,289 Vincent Spring,1.24 acres,Lawson Group,5562 Deleon Isle Expressway,1558310400,1560384000,Lauren Ayala
Maintenance,Mechanical,932 Michelle Throughway Apt. 525,0.88 acres,Mercado and Sons,8410 Katie Heights Flats,1558396800,1558828800,Brian Ochoa
Building,Rennovation,15052 Smith Island,0.99 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1558396800,1560211200,Brian Ochoa
Maintenance,Mechanical,3196 Briana Stravenue,1.04 acres,Quinn Inc,7398 Young Meadow Falls,1558396800,1559347200,Lauren Ayala
Maintenance,Electrical,25426 Jacobson Manor,1.12 acres,Quinn Inc,7398 Young Meadow Falls,1558483200,1559347200,Lauren Ayala
Maintenance,Mechanical,20616 Kathleen Hollow Suite 976,0.36 acres,Lucero-Rich,6977 Ward Glens Dale,1558483200,1559260800,Lauren Ayala
Maintenance,Plumbing,64797 Stein Trail,1.98 acres,Bray Ltd,6147 Amanda Center Pines,1558483200,1559088000,Brian Ochoa
Maintenance,Mechanical,177 William Trace,1.1 acres,Reese Ltd,2506 Johnson Garden Run,1558569600,1559260800,Brian Ochoa
Building,New Construction,51832 Richardson Summit,1.47 acres,Mercado and Sons,8410 Katie Heights Flats,1558569600,1559347200,Lauren Ayala
Building,Rennovation,14904 Diana Path,0.66 acres,Lawson Group,5562 Deleon Isle Expressway,1558569600,1560470400,Edward Woods
Maintenance,Electrical,17219 Davis Greens Suite 150,1.05 acres,Roth-Garcia,5547 Schroeder Glens Courts,1558656000,1559433600,Edward Woods
Maintenance,Mechanical,818 Eric Rest,1.56 acres,Quinn Inc,7398 Young Meadow Falls,1558656000,1559347200,Brian Ochoa
Maintenance,Electrical,9595 Brandon Center Apt. 332,0.93 acres,Roth-Garcia,5547 Schroeder Glens Courts,1558656000,1559520000,Stephanie White
Building,Rennovation,0314 Amy Prairie Apt. 387,1.26 acres,Reese Ltd,2506 Johnson Garden Run,1558656000,1560816000,Edward Woods
Maintenance,Mechanical,312 Melissa Place Apt. 945,2.01 acres,Lawson Group,5562 Deleon Isle Expressway,1558742400,1559692800,Edward Woods
Building,Rennovation,05996 Wheeler Freeway,1.43 acres,Quinn Inc,7398 Young Meadow Falls,1558742400,1560816000,Edward Woods
Maintenance,Electrical,2905 Sandra Islands Suite 853,0.87 acres,Reese Ltd,2506 Johnson Garden Run,1558742400,1559606400,Stephanie White
Maintenance,Mechanical,7010 Megan Trail,1.26 acres,Quinn Inc,7398 Young Meadow Falls,1558828800,1559606400,Lauren Ayala
Building,Rennovation,0293 Parrish Glens Suite 191,1.42 acres,Bray Ltd,6147 Amanda Center Pines,1558828800,1560729600,Lauren Ayala
Maintenance,Electrical,74804 Juan Land,1.12 acres,Mercado and Sons,8410 Katie Heights Flats,1558828800,1559865600,Stephanie White
Maintenance,Mechanical,715 Carl Drives,0.66 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1558828800,1559433600,Lauren Ayala
Maintenance,Electrical,7140 Sullivan Locks Suite 552,0.95 acres,Quinn Inc,7398 Young Meadow Falls,1558828800,1559520000,Edward Woods
Building,Rennovation,01652 Cindy Coves Suite 892,1.94 acres,Bray Ltd,6147 Amanda Center Pines,1558915200,1560643200,Brian Ochoa
Maintenance,Electrical,1166 Cynthia Oval,1.51 acres,Quinn Inc,7398 Young Meadow Falls,1558915200,1559433600,Brian Ochoa
Maintenance,Mechanical,079 Nelson Landing Suite 033,0.44 acres,Bray Ltd,6147 Amanda Center Pines,1559001600,1559952000,Stephanie White
Building,Rennovation,389 Jacob Wall Suite 447,2.12 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1559001600,1561161600,Lauren Ayala
Maintenance,Mechanical,6536 Kyle Park Suite 627,1.38 acres,Bray Ltd,6147 Amanda Center Pines,1559001600,1559865600,Lauren Ayala
Maintenance,Plumbing,143 Reese View Apt. 939,0.29 acres,Roth-Garcia,5547 Schroeder Glens Courts,1559088000,1559779200,Edward Woods
Building,Rennovation,69232 Bell Mall Suite 734,1.1 acres,Bray Ltd,6147 Amanda Center Pines,1559088000,1560988800,Brian Ochoa
Maintenance,Plumbing,14856 Randall Path,1.08 acres,Quinn Inc,7398 Young Meadow Falls,1559088000,1559865600,Brian Ochoa
Maintenance,Mechanical,1756 Rollins Common Suite 818,0.62 acres,Quinn Inc,7398 Young Meadow Falls,1559174400,1559952000,Edward Woods
Maintenance,Plumbing,824 Ashley Rest Suite 829,1.28 acres,Mercado and Sons,8410 Katie Heights Flats,1559260800,1559865600,Lauren Ayala
Building,New Construction,934 Chad Valley,0.73 acres,Reese Ltd,2506 Johnson Garden Run,1559347200,1559952000,Lauren Ayala
Building,New Construction,05472 Carey Avenue Suite 477,1.79 acres,Quinn Inc,7398 Young Meadow Falls,1559347200,1560038400,Lauren Ayala
Building,New Construction,771 Brittney Plains,1.05 acres,Reese Ltd,2506 Johnson Garden Run,1559347200,1560038400,Lauren Ayala
Maintenance,Electrical,81389 Richard Estate,0.48 acres,Roth-Garcia,5547 Schroeder Glens Courts,1559347200,1560038400,Stephanie White
Maintenance,Electrical,908 Johnson Lock Suite 107,1.24 acres,Lawson Group,5562 Deleon Isle Expressway,1559433600,1560470400,Stephanie White
Maintenance,Electrical,32219 Sarah Forest Apt. 375,1.47 acres,Lucero-Rich,6977 Ward Glens Dale,1559433600,1560211200,Lauren Ayala
Building,Rennovation,1936 Cobb Summit Apt. 920,0.51 acres,Reese Ltd,2506 Johnson Garden Run,1559433600,1561248000,Lauren Ayala
Maintenance,Plumbing,2561 Parker Prairie,0.62 acres,Quinn Inc,7398 Young Meadow Falls,1559606400,1560211200,Brian Ochoa
Building,Rennovation,5331 Webster Square Apt. 063,0.77 acres,Quinn Inc,7398 Young Meadow Falls,1559606400,1561248000,Edward Woods
Maintenance,Electrical,1381 Kathleen Club Suite 962,0.85 acres,Lucero-Rich,6977 Ward Glens Dale,1559606400,1560124800,Lauren Ayala
Maintenance,Mechanical,21400 Lane Manor,1.01 acres,Quinn Inc,7398 Young Meadow Falls,1559606400,1560556800,Lauren Ayala
Building,New Construction,1204 Sanders Junctions,1.13 acres,Blair-Williams,2618 Marshall Summit Passage,1559606400,1560384000,Lauren Ayala
Maintenance,Mechanical,4438 Laura Route Suite 585,1.69 acres,Bray Ltd,6147 Amanda Center Pines,1559692800,1560470400,Edward Woods
Maintenance,Mechanical,161 Stark Ferry Apt. 377,1.18 acres,Quinn Inc,7398 Young Meadow Falls,1559692800,1560470400,Lauren Ayala
Maintenance,Plumbing,94032 Miller Oval,1.87 acres,Quinn Inc,7398 Young Meadow Falls,1559692800,1560729600,Stephanie White
Maintenance,Mechanical,9758 Bethany Fort,1.27 acres,Reese Ltd,2506 Johnson Garden Run,1559779200,1560556800,Lauren Ayala
Maintenance,Plumbing,17147 Richardson Loop,1.08 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1559865600,1560902400,Stephanie White
Maintenance,Mechanical,651 Michael Valley,0.87 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1559865600,1560470400,Lauren Ayala
Maintenance,Plumbing,85890 King Street Apt. 702,0.79 acres,Quinn Inc,7398 Young Meadow Falls,1559952000,1560470400,Edward Woods
Building,New Construction,868 Maria Wells,1.01 acres,Lawson Group,5562 Deleon Isle Expressway,1559952000,1560556800,Edward Woods
Maintenance,Mechanical,8020 Hernandez Turnpike Apt. 877,1.75 acres,Mercado and Sons,8410 Katie Heights Flats,1559952000,1560729600,Brian Ochoa
Maintenance,Electrical,2347 Roberts Village,1.28 acres,Blair-Williams,2618 Marshall Summit Passage,1559952000,1560643200,Brian Ochoa
Building,New Construction,64016 Pamela Harbor,1.17 acres,Lucero-Rich,6977 Ward Glens Dale,1559952000,1560729600,Edward Woods
Building,Rennovation,4055 Nicole Plain,0.69 acres,Lucero-Rich,6977 Ward Glens Dale,1560038400,1561939200,Edward Woods
Building,New Construction,370 Bradley Summit Apt. 823,0.98 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1560038400,1560902400,Stephanie White
Building,Rennovation,6960 Olsen Ways Apt. 010,0.79 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1560297600,1562284800,Lauren Ayala
Building,Rennovation,220 Eric Mountain,3.16 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1560297600,1562889600,Stephanie White
Maintenance,Mechanical,599 Lindsey Shore Suite 608,0.79 acres,Lawson Group,5562 Deleon Isle Expressway,1560384000,1560988800,Lauren Ayala
Building,New Construction,034 Robertson Lock,1.41 acres,Roth-Garcia,5547 Schroeder Glens Courts,1560384000,1561334400,Stephanie White
Maintenance,Mechanical,306 Stone Springs,1.84 acres,Mercado and Sons,8410 Katie Heights Flats,1560384000,1561334400,Lauren Ayala
Maintenance,Plumbing,734 Jason Freeway,1.64 acres,Reese Ltd,2506 Johnson Garden Run,1560384000,1560988800,Brian Ochoa
Building,Rennovation,9342 Lee Cliff,1.39 acres,Lucero-Rich,6977 Ward Glens Dale,1560470400,1562198400,Lauren Ayala
Building,New Construction,7445 Russell Fort Suite 776,1.18 acres,Bray Ltd,6147 Amanda Center Pines,1560470400,1561161600,Lauren Ayala
Maintenance,Electrical,15659 Juan Junctions,0.93 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1560556800,1561334400,Stephanie White
Maintenance,Mechanical,7837 Dustin Extension,1.38 acres,Bray Ltd,6147 Amanda Center Pines,1560556800,1561248000,Edward Woods
Maintenance,Plumbing,82752 Shea Skyway Suite 764,1.01 acres,Quinn Inc,7398 Young Meadow Falls,1560556800,1561161600,Edward Woods
Maintenance,Electrical,1824 Howell Road Apt. 330,0.46 acres,Lawson Group,5562 Deleon Isle Expressway,1560556800,1561420800,Stephanie White
Maintenance,Mechanical,40482 Herman Island Apt. 960,0.84 acres,Blair-Williams,2618 Marshall Summit Passage,1560643200,1561334400,Brian Ochoa
Building,Rennovation,63002 Deleon Circles,1.31 acres,Lucero-Rich,6977 Ward Glens Dale,1560643200,1562976000,Stephanie White
Building,Rennovation,3827 Michelle Ranch,1.08 acres,Blair-Williams,2618 Marshall Summit Passage,1560816000,1563062400,Lauren Ayala
Building,New Construction,8396 Alexander Drive Apt. 321,0.89 acres,Lawson Group,5562 Deleon Isle Expressway,1560816000,1561334400,Edward Woods
Building,Rennovation,0156 Richardson Trail,0.56 acres,Mercado and Sons,8410 Katie Heights Flats,1560816000,1562457600,Edward Woods
Maintenance,Mechanical,10670 Romero Mission Suite 463,1.31 acres,Lawson Group,5562 Deleon Isle Expressway,1560816000,1561507200,Edward Woods
Maintenance,Mechanical,78946 Smith Prairie,1.23 acres,Roth-Garcia,5547 Schroeder Glens Courts,1560902400,1561852800,Edward Woods
Maintenance,Plumbing,5527 Simmons Lodge Suite 167,1.81 acres,Quinn Inc,7398 Young Meadow Falls,1560902400,1561420800,Edward Woods
Maintenance,Electrical,70011 Chase Fort,1.3 acres,Roth-Garcia,5547 Schroeder Glens Courts,1560902400,1561593600,Edward Woods
Building,Rennovation,23054 Karen Station Suite 377,1.96 acres,Lucero-Rich,6977 Ward Glens Dale,1560902400,1562976000,Stephanie White
Building,New Construction,946 Edward Inlet Suite 250,1.5 acres,Lucero-Rich,6977 Ward Glens Dale,1560988800,1561680000,Brian Ochoa
Building,Rennovation,80339 Leslie Plain Suite 342,1.39 acres,Blair-Williams,2618 Marshall Summit Passage,1560988800,1563321600,Stephanie White
Building,Rennovation,4270 Cobb Locks Suite 404,0.84 acres,Quinn Inc,7398 Young Meadow Falls,1560988800,1562889600,Stephanie White
Building,Rennovation,2614 Ana Extension,1.23 acres,Reese Ltd,2506 Johnson Garden Run,1560988800,1562716800,Brian Ochoa
Maintenance,Electrical,06175 Glenn Trafficway,0.55 acres,Quinn Inc,7398 Young Meadow Falls,1560988800,1561852800,Stephanie White
Maintenance,Plumbing,41687 Thompson Divide,1.51 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1560988800,1561680000,Lauren Ayala
Maintenance,Plumbing,0570 Julie River Suite 672,1.24 acres,Bray Ltd,6147 Amanda Center Pines,1561075200,1561680000,Edward Woods
Maintenance,Plumbing,204 Jennifer Drives,1.06 acres,Reese Ltd,2506 Johnson Garden Run,1561075200,1561852800,Edward Woods
Maintenance,Mechanical,119 James Islands,1.35 acres,Roth-Garcia,5547 Schroeder Glens Courts,1561075200,1561852800,Lauren Ayala
Building,New Construction,97613 Heather Spur Apt. 304,0.88 acres,Mercado and Sons,8410 Katie Heights Flats,1561161600,1562025600,Stephanie White
Maintenance,Plumbing,262 Sharon Dale,2.01 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561161600,1562025600,Edward Woods
Maintenance,Plumbing,4137 Jacob Cliff,0.76 acres,Blair-Williams,2618 Marshall Summit Passage,1561334400,1561939200,Stephanie White
Maintenance,Electrical,157 Scott Light Apt. 717,1.25 acres,Reese Ltd,2506 Johnson Garden Run,1561334400,1561939200,Edward Woods
Building,Rennovation,777 Baxter Ports,0.88 acres,Lucero-Rich,6977 Ward Glens Dale,1561334400,1563062400,Lauren Ayala
Building,New Construction,01697 Darryl Lodge Apt. 382,0.72 acres,Mercado and Sons,8410 Katie Heights Flats,1561334400,1561852800,Brian Ochoa
Maintenance,Mechanical,8316 Tony Ramp Apt. 253,1.21 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561420800,1562198400,Edward Woods
Maintenance,Plumbing,8674 Melissa Plaza Apt. 509,1.1 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561420800,1562198400,Brian Ochoa
Building,New Construction,44068 Rivers Motorway Apt. 989,0.82 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561420800,1562198400,Stephanie White
Building,Rennovation,0481 Robert Roads Apt. 952,1.49 acres,Quinn Inc,7398 Young Meadow Falls,1561507200,1563235200,Lauren Ayala
Building,New Construction,572 Brennan Drives,0.83 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561507200,1562025600,Brian Ochoa
Maintenance,Electrical,331 Joseph Road Suite 159,0.58 acres,Quinn Inc,7398 Young Meadow Falls,1561507200,1561939200,Brian Ochoa
Building,New Construction,3713 Shawn Point,0.94 acres,Reese Ltd,2506 Johnson Garden Run,1561507200,1562025600,Edward Woods
Maintenance,Electrical,770 Terry Union,1.34 acres,Quinn Inc,7398 Young Meadow Falls,1561507200,1562198400,Lauren Ayala
Maintenance,Mechanical,52713 Allison Divide Suite 385,0.93 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1561593600,1562025600,Brian Ochoa
Maintenance,Plumbing,01821 Miller Bridge Apt. 608,1.56 acres,Mercado and Sons,8410 Katie Heights Flats,1561680000,1562198400,Lauren Ayala
Maintenance,Mechanical,94724 Clark Terrace,2.51 acres,Lawson Group,5562 Deleon Isle Expressway,1561680000,1562803200,Edward Woods
Maintenance,Plumbing,00103 Samantha Valleys Suite 655,1.12 acres,Bray Ltd,6147 Amanda Center Pines,1561680000,1562544000,Stephanie White
Building,New Construction,904 Henry Throughway Apt. 469,0.92 acres,Roth-Garcia,5547 Schroeder Glens Courts,1561766400,1562630400,Stephanie White
Building,New Construction,551 Baird Wall Apt. 878,1.61 acres,Mercado and Sons,8410 Katie Heights Flats,1561766400,1562544000,Lauren Ayala
Building,Rennovation,0322 Butler Ways,0.98 acres,Roth-Garcia,5547 Schroeder Glens Courts,1561766400,1563580800,Edward Woods
Maintenance,Electrical,44097 Corey Mount Suite 400,1.66 acres,Bray Ltd,6147 Amanda Center Pines,1561852800,1562544000,Edward Woods
Maintenance,Plumbing,1172 Karen River,0.71 acres,Quinn Inc,7398 Young Meadow Falls,1561852800,1562630400,Stephanie White
Maintenance,Electrical,5327 Wright Drive Apt. 651,1.68 acres,Roth-Garcia,5547 Schroeder Glens Courts,1561939200,1562630400,Edward Woods
Maintenance,Plumbing,01341 Jennifer Stream Apt. 262,1.6 acres,Lawson Group,5562 Deleon Isle Expressway,1561939200,1562544000,Edward Woods
Building,Rennovation,8403 Scott Track Suite 466,1.16 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562025600,1564358400,Stephanie White
Maintenance,Plumbing,003 Nicholas Drive Apt. 855,1.64 acres,Bray Ltd,6147 Amanda Center Pines,1562025600,1562803200,Brian Ochoa
Building,Rennovation,5627 Lauren Meadows Suite 930,0.57 acres,Blair-Williams,2618 Marshall Summit Passage,1562112000,1563667200,Brian Ochoa
Building,Rennovation,92070 Sanchez Corners,0.81 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562112000,1564185600,Stephanie White
Maintenance,Electrical,67353 Mays Lake,0.85 acres,Lawson Group,5562 Deleon Isle Expressway,1562112000,1562544000,Lauren Ayala
Maintenance,Plumbing,3747 Lisa Port,0.88 acres,Quinn Inc,7398 Young Meadow Falls,1562112000,1562457600,Brian Ochoa
Maintenance,Mechanical,762 Bryant Knolls Suite 599,1.19 acres,Lucero-Rich,6977 Ward Glens Dale,1562198400,1562976000,Lauren Ayala
Maintenance,Plumbing,91385 Jill Trail Suite 684,0.68 acres,Quinn Inc,7398 Young Meadow Falls,1562284800,1562889600,Brian Ochoa
Maintenance,Mechanical,27501 Hall Trace,0.9 acres,Blair-Williams,2618 Marshall Summit Passage,1562284800,1563235200,Stephanie White
Maintenance,Electrical,76974 Gilbert Hollow,2.32 acres,Lucero-Rich,6977 Ward Glens Dale,1562284800,1563580800,Stephanie White
Building,Rennovation,007 Juan Rue Apt. 211,1.27 acres,Blair-Williams,2618 Marshall Summit Passage,1562371200,1564704000,Stephanie White
Building,Rennovation,2487 Lindsey Station,0.76 acres,Roth-Garcia,5547 Schroeder Glens Courts,1562371200,1564012800,Brian Ochoa
Maintenance,Plumbing,2232 Robert Village,2.23 acres,Bray Ltd,6147 Amanda Center Pines,1562371200,1563148800,Edward Woods
Maintenance,Electrical,9674 Samuel Estate Apt. 986,0.75 acres,Lucero-Rich,6977 Ward Glens Dale,1562371200,1562976000,Lauren Ayala
Building,New Construction,9838 Herrera Tunnel Suite 955,0.87 acres,Roth-Garcia,5547 Schroeder Glens Courts,1562457600,1563148800,Edward Woods
Maintenance,Mechanical,036 Taylor Village,1.75 acres,Lawson Group,5562 Deleon Isle Expressway,1562457600,1563148800,Brian Ochoa
Building,New Construction,265 Mathis Road,0.56 acres,Blair-Williams,2618 Marshall Summit Passage,1562457600,1563148800,Lauren Ayala
Building,Rennovation,28854 Micheal Forge Suite 194,1.94 acres,Blair-Williams,2618 Marshall Summit Passage,1562544000,1564876800,Stephanie White
Building,Rennovation,968 Hector Views,0.87 acres,Reese Ltd,2506 Johnson Garden Run,1562544000,1564531200,Brian Ochoa
Maintenance,Mechanical,676 Gonzalez Circle Suite 625,0.86 acres,Blair-Williams,2618 Marshall Summit Passage,1562544000,1563148800,Edward Woods
Building,Rennovation,2948 Nicholas Pine Suite 851,1.15 acres,Reese Ltd,2506 Johnson Garden Run,1562544000,1564531200,Edward Woods
Maintenance,Electrical,3782 Suzanne Knoll,2.27 acres,Lucero-Rich,6977 Ward Glens Dale,1562630400,1563494400,Brian Ochoa
Maintenance,Mechanical,0186 Jill Greens Suite 957,1.1 acres,Lawson Group,5562 Deleon Isle Expressway,1562716800,1563667200,Stephanie White
Building,New Construction,29205 Lindsey Plains Suite 221,0.86 acres,Blair-Williams,2618 Marshall Summit Passage,1562716800,1563321600,Edward Woods
Maintenance,Mechanical,031 Linda Stravenue,0.59 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562716800,1563321600,Edward Woods
Maintenance,Plumbing,0226 Crawford Club Apt. 154,0.62 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562716800,1563494400,Stephanie White
Building,Rennovation,831 Lisa Course,0.87 acres,Blair-Williams,2618 Marshall Summit Passage,1562716800,1564444800,Edward Woods
Building,Rennovation,94718 Crystal Corners Suite 748,1.53 acres,Lucero-Rich,6977 Ward Glens Dale,1562803200,1564617600,Brian Ochoa
Maintenance,Electrical,39260 Williams Squares,1.21 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562803200,1563408000,Lauren Ayala
Maintenance,Plumbing,240 Barton Dale Apt. 111,0.63 acres,Roth-Garcia,5547 Schroeder Glens Courts,1562803200,1563235200,Edward Woods
Maintenance,Electrical,17058 James Crescent Apt. 808,0.96 acres,Reese Ltd,2506 Johnson Garden Run,1562889600,1563321600,Brian Ochoa
Building,New Construction,55233 Rocha Burgs Apt. 194,2.16 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562889600,1563753600,Lauren Ayala
Building,New Construction,57483 Amanda Squares Apt. 906,1.49 acres,Lawson Group,5562 Deleon Isle Expressway,1562889600,1563580800,Lauren Ayala
Building,Rennovation,495 Alison Ways,0.43 acres,Roth-Garcia,5547 Schroeder Glens Courts,1562889600,1565136000,Stephanie White
Maintenance,Mechanical,234 Richardson Plaza,1.19 acres,Reese Ltd,2506 Johnson Garden Run,1562889600,1563753600,Lauren Ayala
Building,New Construction,1399 Jill Club,1.45 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1562976000,1563753600,Edward Woods
Maintenance,Mechanical,03067 Brittany Passage,1.32 acres,Bray Ltd,6147 Amanda Center Pines,1562976000,1563667200,Lauren Ayala
Maintenance,Plumbing,1407 Miller Prairie,0.66 acres,Mercado and Sons,8410 Katie Heights Flats,1562976000,1563667200,Stephanie White
Maintenance,Mechanical,89996 Dominic Wall,1.05 acres,Roth-Garcia,5547 Schroeder Glens Courts,1562976000,1563840000,Lauren Ayala
Maintenance,Electrical,309 Carmen Via,1.45 acres,Reese Ltd,2506 Johnson Garden Run,1562976000,1564099200,Stephanie White
Maintenance,Plumbing,84041 Deborah Courts Apt. 550,0.76 acres,Lucero-Rich,6977 Ward Glens Dale,1563062400,1563580800,Edward Woods
Maintenance,Electrical,82215 Cain Greens,1.18 acres,Roth-Garcia,5547 Schroeder Glens Courts,1563062400,1563753600,Lauren Ayala
Maintenance,Mechanical,24258 Christopher Lane Apt. 254,0.95 acres,Bray Ltd,6147 Amanda Center Pines,1563062400,1563667200,Edward Woods
Building,Rennovation,43267 Strong Row,0.84 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1563148800,1565308800,Stephanie White
Building,Rennovation,740 Danny Divide,1.07 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1563148800,1564963200,Stephanie White
Maintenance,Electrical,2972 Vega Shores Apt. 004,0.75 acres,Blair-Williams,2618 Marshall Summit Passage,1563148800,1563753600,Edward Woods
Maintenance,Plumbing,9781 Amanda Island Suite 861,0.64 acres,Roth-Garcia,5547 Schroeder Glens Courts,1563235200,1563667200,Lauren Ayala
Maintenance,Mechanical,4298 Steele Harbor Suite 592,1.29 acres,Bray Ltd,6147 Amanda Center Pines,1563235200,1563926400,Edward Woods
Maintenance,Plumbing,93702 Kane Pass Suite 562,0.91 acres,Roth-Garcia,5547 Schroeder Glens Courts,1563235200,1563667200,Lauren Ayala
